Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Bojan Bogdanovic,BKN,26,13,6,7,1.3,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,100,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,-0.2
Chris Bosh,MIA,31,13,7,6,1.7,1.5,0.6,0.9,66.7,0.2,0.4,40.0,0.2,0.2,100,0.0,0.4,0.4,0.0,0.1,0.1,0.0,0.0,0.8
Damjan Rudez,IND,29,13,4,9,0.4,0.4,0.2,0.2,100,0.1,0.1,100,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0
Gerald Green,PHX,29,13,5,8,1.3,0.3,0.1,0.5,14.3,0.1,0.3,25.0,0.1,0.1,100,0.2,0.1,0.2,0.0,0.1,0.0,0.0,0.3,-1.1
Iman Shumpert,CLE,25,13,6,7,1.2,0.5,0.2,0.3,50.0,0.2,0.2,66.7,0.1,0.2,50.0,0.2,0.2,0.4,0.0,0.1,0.1,0.0,0.2,-0.2
Jerami Grant,PHI,21,13,3,10,1.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.3,100,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.2,-1.3
Jodie Meeks,DET,27,13,5,8,1.7,0.7,0.1,0.3,25.0,0.1,0.2,33.3,0.5,0.5,100,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,-1.2
Jrue Holiday,NOP,25,13,6,7,1.8,0.2,0.0,0.4,0.0,0.0,0.1,0.0,0.2,0.2,100,0.2,0.2,0.4,0.2,0.2,0.1,0.1,0.4,-0.5
Kevin Garnett,MIN,39,13,8,5,1.0,0.3,0.1,0.4,20.0,0.0,0.2,0.0,0.2,0.4,40.0,0.1,0.2,0.3,0.0,0.1,0.1,0.0,0.0,0.1
Matthew Dellavedova,CLE,24,13,9,4,2.0,0.2,0.0,0.5,0.0,0.0,0.2,0.0,0.2,0.3,50.0,0.2,0.2,0.4,0.2,0.0,0.0,0.1,0.1,0.8
Ray McCallum,SAC,24,13,6,7,1.1,0.2,0.1,0.3,25.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,-0.4
Aaron Gordon,ORL,19,12,6,6,0.9,0.2,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.4,0.5,0.2,0.0,0.0,0.1,0.1,0.0
Dwight Howard,HOU,29,12,6,6,1.7,0.5,0.1,0.1,100,0.0,0.0,0.0,0.3,0.7,50.0,0.2,0.3,0.5,0.0,0.3,0.0,0.0,0.4,-1.8
Ed Davis,LAL,26,12,3,9,1.3,0.4,0.2,0.3,66.7,0.0,0.0,0.0,0.1,0.2,50.0,0.2,0.3,0.4,0.0,0.0,0.0,0.1,0.2,-1.6
Elijah Millsap,UTA,27,12,4,8,1.3,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.2,100,0.0,0.3,0.3,0.0,0.0,0.1,0.0,0.2,-0.1
Ersan Ilyasova,MIL,28,12,7,5,1.6,1.1,0.4,0.7,62.5,0.1,0.2,50.0,0.2,0.4,40.0,0.3,0.5,0.8,0.0,0.0,0.0,0.0,0.2,1.1
James Johnson,TOR,28,12,5,7,1.6,0.7,0.3,0.3,100,0.1,0.1,100,0.1,0.2,50.0,0.1,0.4,0.5,0.0,0.2,0.0,0.1,0.3,-1.1
Kent Bazemore,ATL,25,12,9,3,0.4,0.4,0.2,0.2,100,0.1,0.1,100,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.3
Marco Belinelli,SAS,29,12,3,9,1.2,0.8,0.3,0.3,75.0,0.1,0.2,50.0,0.2,0.2,100,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.3,0.1
Nikola Mirotic,CHI,24,12,9,3,2.1,0.9,0.2,0.5,33.3,0.1,0.3,33.3,0.5,0.6,85.7,0.1,0.7,0.8,0.1,0.0,0.0,0.0,0.1,1.3
Nikola Pekovic,MIN,29,12,5,7,1.8,1.1,0.3,0.8,44.4,0.0,0.0,0.0,0.4,0.4,100,0.3,0.2,0.4,0.1,0.0,0.0,0.1,0.2,0.4
Pablo Prigioni,HOU,38,12,4,8,1.6,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.4,0.0,0.0,0.0,0.3,0.9
Rodney Hood,UTA,22,12,6,6,1.7,0.3,0.2,0.6,28.6,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.3,0.3,0.0,0.0,0.1,0.0,0.3,0.7
Taj Gibson,CHI,30,12,8,4,1.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.2,50.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.2,0.7
Vince Carter,MEM,38,12,10,2,0.7,0.8,0.2,0.3,50.0,0.2,0.3,66.7,0.3,0.3,75.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,1.6
Andrew Bogut,GSW,30,11,8,3,1.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.7,0.1,0.2,0.0,0.0,0.5,-0.4
Anthony Tolliver,DET,30,11,4,7,1.2,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.3,-0.8
Chris Andersen,MIA,36,11,5,6,1.2,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.3,66.7,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.2,-1.3
Derrick Williams,SAC,24,11,4,7,1.7,0.5,0.2,0.3,66.7,0.1,0.2,50.0,0.1,0.2,50.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.1,0.5
Donald Sloan,IND,27,11,4,7,1.6,1.5,0.5,0.5,83.3,0.1,0.1,100,0.5,0.6,85.7,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.3
Lance Stephenson,CHA,24,11,5,6,1.9,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.0,0.3,0.1,0.0,0.1,-1.2
Lavoy Allen,IND,26,11,3,8,1.3,0.4,0.1,0.3,33.3,0.0,0.0,0.0,0.2,0.2,100,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.2,-1.8
Tiago Splitter,SAS,30,11,4,7,1.4,0.2,0.1,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,0.1,0.0,0.0,0.0,0.1,1.3
Alec Burks,UTA,23,10,4,6,1.7,0.6,0.1,0.6,16.7,0.0,0.1,0.0,0.4,0.4,100,0.1,0.3,0.4,0.0,0.0,0.0,0.1,0.1,-0.8
Austin Rivers,LAC,22,10,5,5,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.1,0.0
Caron Butler,DET,35,10,4,6,1.3,0.8,0.3,0.3,100,0.2,0.2,100,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.2,-0.4
Cole Aldrich,NYK,26,10,2,8,1.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,100,0.2,0.2,0.4,0.0,0.1,0.0,0.0,0.1,-1.2
Darrell Arthur,DEN,27,10,4,6,2.0,1.2,0.4,0.8,50.0,0.0,0.2,0.0,0.4,0.4,100,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0
Garrett Temple,WAS,29,10,5,5,1.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,50.0,0.1,0.1,0.2,0.0,0.0,0.1,0.0,0.1,-0.2
J.J. Barea,DAL,31,10,7,3,1.0,0.8,0.3,0.3,100,0.1,0.1,100,0.1,0.1,100,0.0,0.2,0.2,0.1,0.0,0.0,0.0,0.2,0.8
John Henson,MIL,24,10,5,5,1.2,0.2,0.1,0.1,100,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.1,0.0,0.1,0.2,-0.5
