Player,Team,Age,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Tim Frazier,NOP,25,6,3,3,1.3,0.3,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.3,-1.5
Tyler Johnson,MIA,24,6,4,2,2.1,0.8,0.3,0.7,50.0,0.0,0.2,0.0,0.2,0.3,50.0,0.2,0.5,0.7,0.0,0.0,0.0,0.0,0.0,2.2
Al Jefferson,CHA,31,5,1,4,1.3,0.4,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0,0.0,0.0,0.2,-1.0
Andrew Nicholson,ORL,26,5,2,3,1.1,0.4,0.0,0.4,0.0,0.0,0.2,0.0,0.4,0.4,100.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.2,0.0
Bobby Portis,CHI,21,5,2,3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6
Brandon Rush,GSW,30,5,3,2,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Channing Frye,CLE,33,5,2,3,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2
David Lee,DAL,33,5,2,3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0
Derrick Williams,NYK,25,5,2,3,2.6,0.8,0.4,0.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,1.0,0.0,0.0,0.0,0.0,0.0,1.4
Festus Ezeli,GSW,26,5,5,0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.4,1.0
